Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
25,No,Travel_Rarely,Sales,5,3,Marketing,1,381,Female,4,Research Scientist,Married,27560,1,Y,12,8,2,5,2,5,0,3
49,No,Travel_Rarely,Sales,9,3,Technical Degree,1,382,Female,2,Sales Representative,Married,190330,2,Y,18,8,1,7,5,4,0,2
24,No,Non-Travel,Research & Development,2,5,Technical Degree,1,383,Male,2,Healthcare Representative,Married,187220,0,Y,22,8,1,6,3,5,3,4
32,No,Travel_Frequently,Research & Development,12,5,Medical,1,384,Male,1,Research Scientist,Married,95470,1,Y,13,8,1,10,3,10,5,3
38,No,Travel_Rarely,Sales,22,2,Medical,1,385,Male,1,Sales Executive,Married,137340,0,Y,13,8,0,3,3,2,1,2
42,No,Travel_Rarely,Research & Development,18,1,Technical Degree,1,386,Female,2,Research Scientist,Married,199990,2,Y,23,8,1,17,6,5,1,3
31,No,Travel_Rarely,Research & Development,16,3,Life Sciences,1,387,Female,3,Sales Executive,Married,22790,3,Y,12,8,1,8,3,6,0,2
29,Yes,Travel_Rarely,Sales,3,3,Marketing,1,388,Male,3,Laboratory Technician,Divorced,59160,6,Y,12,8,0,5,2,3,0,2
53,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,389,Male,1,Sales Representative,Married,20890,5,Y,16,8,0,28,2,2,2,2
35,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,390,Male,3,Healthcare Representative,Married,167920,3,Y,12,8,1,16,3,13,4,8
37,No,Travel_Frequently,Research & Development,13,4,Life Sciences,1,391,Female,3,Human Resources,Married,35640,5,Y,11,8,0,10,1,5,0,0
53,No,Travel_Rarely,Research & Development,1,1,Medical,1,392,Male,1,Sales Executive,Single,44250,6,Y,22,8,1,33,2,12,3,8
43,No,Travel_Frequently,Research & Development,1,3,Medical,1,393,Male,1,Laboratory Technician,Married,52650,4,Y,11,8,1,12,4,5,2,2
47,No,Travel_Rarely,Sales,15,4,Marketing,1,394,Female,3,Research Director,Married,65530,0,Y,15,8,0,8,2,7,7,7
37,No,Non-Travel,Research & Development,1,5,Medical,1,395,Female,2,Research Scientist,Single,62610,1,Y,12,8,0,10,1,10,0,9
50,No,Non-Travel,Research & Development,17,3,Medical,1,396,Female,1,Laboratory Technician,Divorced,42980,1,Y,20,8,1,31,6,31,14,7
39,No,Travel_Rarely,Research & Development,1,3,Other,1,397,Female,3,Human Resources,Married,68040,8,Y,14,8,1,13,3,5,0,4
33,No,Travel_Rarely,Sales,7,3,Life Sciences,1,398,Male,2,Manufacturing Director,Divorced,38150,3,Y,11,8,1,7,3,4,0,3
32,Yes,Travel_Rarely,Research & Development,9,1,Medical,1,399,Female,1,Laboratory Technician,Single,27410,1,Y,15,8,1,1,5,1,0,1
29,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,400,Female,4,Healthcare Representative,Divorced,66730,6,Y,12,8,1,8,2,4,0,3
44,No,Travel_Rarely,Research & Development,26,2,Life Sciences,1,401,Male,2,Manufacturing Director,Married,76390,1,Y,14,8,0,8,6,8,7,1
28,No,Travel_Rarely,Sales,24,5,Life Sciences,1,402,Female,1,Research Scientist,Single,23280,1,Y,11,8,2,4,3,4,0,2
58,Yes,Travel_Frequently,Sales,9,2,Technical Degree,1,403,Male,1,Sales Executive,Divorced,21530,9,Y,11,8,0,3,3,1,0,0
43,No,Travel_Rarely,Sales,7,4,Marketing,1,404,Male,2,Sales Executive,Divorced,48760,4,Y,16,8,2,4,4,1,0,0
20,Yes,Travel_Rarely,Research & Development,11,3,Medical,1,405,Male,2,Sales Executive,Single,93960,1,Y,12,8,0,2,6,2,0,2
21,Yes,Travel_Rarely,Research & Development,1,3,Medical,1,406,Male,2,Sales Executive,Single,104000,1,Y,13,8,1,1,2,1,0,0
36,No,Travel_Rarely,Research & Development,26,4,Medical,1,407,Male,1,Laboratory Technician,Married,84740,0,Y,14,8,0,17,3,16,4,11
47,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,408,Male,2,Manufacturing Director,Single,99810,1,Y,21,8,1,3,3,3,1,2
22,Yes,Travel_Rarely,Research & Development,15,4,Life Sciences,1,409,Female,1,Laboratory Technician,Married,124900,0,Y,13,8,0,4,3,3,0,2
41,Yes,Travel_Rarely,Research & Development,23,3,Life Sciences,1,410,Female,2,Sales Executive,Divorced,26570,4,Y,11,8,0,10,3,7,1,0
28,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,411,Female,3,Manager,Divorced,135910,5,Y,20,8,1,6,2,2,2,2
39,Yes,Travel_Rarely,Research & Development,10,4,Life Sciences,1,412,Female,4,Human Resources,Married,66960,7,Y,11,8,0,8,3,2,2,2
27,No,Travel_Rarely,Research & Development,1,3,Medical,1,413,Male,1,Research Scientist,Single,20580,1,Y,14,8,1,1,5,1,0,0
34,No,Travel_Rarely,Research & Development,12,2,Technical Degree,1,414,Male,2,Human Resources,Divorced,88650,1,Y,11,8,1,1,0,1,1,0
42,No,Travel_Rarely,Sales,11,1,Technical Degree,1,415,Male,2,Human Resources,Single,59400,7,Y,16,8,0,10,2,5,0,3
33,No,Travel_Rarely,Sales,2,3,Marketing,1,416,Female,1,Sales Executive,Single,59140,3,Y,16,8,1,6,4,3,0,2
58,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,417,Male,1,Research Scientist,Divorced,26220,2,Y,23,8,0,24,3,6,0,4
31,No,Travel_Rarely,Sales,1,3,Life Sciences,1,418,Female,1,Sales Representative,Married,121850,3,Y,14,8,0,13,2,7,5,2
35,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,419,Male,3,Healthcare Representative,Married,106090,1,Y,22,8,0,10,3,10,0,7
49,No,Travel_Rarely,Research & Development,25,2,Life Sciences,1,420,Female,2,Sales Executive,Married,43450,4,Y,15,8,0,29,3,26,1,7
48,No,Travel_Rarely,Research & Development,1,4,Medical,1,421,Male,1,Research Scientist,Married,21770,4,Y,18,8,0,13,4,0,0,0
31,No,Non-Travel,Research & Development,1,2,Technical Degree,1,422,Female,2,Sales Executive,Married,27930,1,Y,16,8,0,9,4,9,0,0
36,No,Travel_Rarely,Human Resources,2,4,Technical Degree,1,423,Male,1,Sales Executive,Single,79180,2,Y,12,8,2,8,3,6,0,1
38,No,Travel_Rarely,Sales,6,3,Other,1,424,Male,2,Sales Executive,Married,87890,1,Y,11,8,3,15,4,15,5,11
32,No,Non-Travel,Sales,18,3,Marketing,1,425,Male,1,Laboratory Technician,Married,23890,6,Y,12,8,1,5,4,3,0,2
25,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,426,Male,1,Sales Executive,Married,32120,1,Y,15,8,1,1,3,1,0,0
40,No,Travel_Rarely,Research & Development,1,4,Medical,1,427,Male,2,Research Scientist,Divorced,192320,2,Y,14,8,1,11,3,1,0,0
26,No,Travel_Frequently,Sales,11,3,Marketing,1,428,Male,2,Healthcare Representative,Single,22670,1,Y,19,8,3,7,2,7,0,7
41,No,Travel_Rarely,Research & Development,1,4,Medical,1,429,Male,1,Research Scientist,Single,195170,2,Y,13,8,0,20,5,18,2,17
36,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,430,Female,2,Healthcare Representative,Single,24360,4,Y,13,8,0,16,3,11,3,9
19,Yes,Travel_Rarely,Research & Development,15,3,Life Sciences,1,431,Male,2,Research Scientist,Single,160640,1,Y,15,8,1,1,3,1,0,0
20,Yes,Travel_Rarely,Research & Development,29,3,Life Sciences,1,432,Female,3,Laboratory Technician,Single,27070,1,Y,11,8,0,1,2,1,0,0
31,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,433,Male,4,Research Director,Married,190680,0,Y,12,8,0,10,1,9,8,5
40,No,Travel_Frequently,Sales,1,3,Marketing,1,434,Male,1,Research Scientist,Divorced,39310,8,Y,19,8,0,3,2,1,0,0
32,No,Travel_Rarely,Research & Development,24,3,Life Sciences,1,435,Male,4,Laboratory Technician,Married,37300,1,Y,25,8,1,8,4,8,6,3
36,Yes,Travel_Rarely,Research & Development,10,3,Medical,1,436,Male,3,Sales Executive,Married,22320,1,Y,12,8,1,16,2,16,3,7
33,No,Travel_Rarely,Research & Development,1,4,Medical,1,437,Female,4,Manufacturing Director,Single,44650,0,Y,13,8,0,6,3,5,1,4
37,Yes,Travel_Rarely,Sales,10,4,Marketing,1,438,Female,3,Human Resources,Married,30720,5,Y,14,8,0,17,3,14,11,7
45,No,Non-Travel,Research & Development,8,1,Life Sciences,1,439,Male,2,Sales Executive,Married,33190,1,Y,12,8,1,9,3,9,0,8
29,No,Travel_Frequently,Research & Development,29,1,Life Sciences,1,440,Male,1,Sales Representative,Married,192020,1,Y,12,8,0,3,5,3,0,2
35,No,Travel_Rarely,Human Resources,1,3,Human Resources,1,441,Male,3,Laboratory Technician,Married,136750,1,Y,15,8,3,5,5,5,1,0
52,No,Travel_Rarely,Research & Development,5,4,Other,1,442,Male,1,Laboratory Technician,Married,29110,2,Y,17,8,2,26,3,9,7,8
58,Yes,Travel_Rarely,Sales,9,2,Medical,1,443,Female,4,Sales Executive,Single,59570,4,Y,14,8,1,7,2,1,0,0
53,No,Travel_Rarely,Research & Development,9,3,Technical Degree,1,444,Male,1,Manager,Divorced,39200,6,Y,16,8,1,22,3,17,15,2
30,No,Travel_Rarely,Sales,3,4,Marketing,1,445,Male,1,Sales Executive,Divorced,64340,5,Y,14,8,1,10,3,8,7,7
38,No,Non-Travel,Sales,4,3,Life Sciences,1,446,Male,2,Research Director,Single,100480,1,Y,23,8,1,6,2,5,1,3
35,No,Travel_Rarely,Sales,1,2,Life Sciences,1,447,Female,2,Healthcare Representative,Divorced,109380,6,Y,14,8,2,12,2,10,0,8
39,No,Travel_Rarely,Sales,1,1,Marketing,1,448,Male,2,Research Scientist,Single,23400,0,Y,11,8,1,9,2,8,0,7
40,Yes,Non-Travel,Research & Development,2,4,Life Sciences,1,449,Male,1,Human Resources,Single,65450,4,Y,15,8,0,22,2,1,0,0
47,No,Travel_Frequently,Research & Development,7,4,Life Sciences,1,450,Male,3,Sales Executive,Divorced,69310,1,Y,11,8,0,20,3,19,2,7
36,No,Non-Travel,Sales,28,1,Life Sciences,1,451,Male,2,Research Scientist,Divorced,48980,4,Y,13,8,1,12,3,7,0,7
31,Yes,Non-Travel,Research & Development,28,4,Medical,1,452,Male,2,Research Scientist,Single,25930,0,Y,21,8,0,4,2,3,1,2
33,No,Non-Travel,Sales,15,3,Other,1,453,Male,4,Research Director,Single,194360,1,Y,19,8,2,10,4,10,6,0
29,Yes,Travel_Rarely,Human Resources,3,5,Life Sciences,1,454,Male,1,Sales Executive,Single,27230,6,Y,11,8,1,3,2,0,0,0
33,No,Travel_Rarely,Research & Development,2,2,Technical Degree,1,455,Male,2,Laboratory Technician,Single,34790,3,Y,12,8,0,5,3,3,0,2
45,No,Travel_Rarely,Research & Development,26,1,Medical,1,456,Female,3,Healthcare Representative,Divorced,27940,3,Y,19,8,1,8,2,5,0,2
50,No,Travel_Rarely,Sales,10,1,Life Sciences,1,457,Female,1,Manufacturing Director,Divorced,52490,9,Y,21,8,2,32,2,5,1,3
33,No,Travel_Frequently,Sales,1,3,Marketing,1,458,Male,2,Human Resources,Married,21760,1,Y,14,8,1,6,2,6,1,2
41,No,Travel_Frequently,Sales,11,3,Other,1,459,Male,1,Laboratory Technician,Divorced,168720,2,Y,15,8,1,21,2,18,0,11
27,No,Travel_Rarely,Research & Development,20,4,Other,1,460,Male,2,Manufacturing Director,Married,34850,9,Y,17,8,2,4,2,2,2,2
45,No,Non-Travel,Sales,2,3,Medical,1,461,Female,1,Sales Executive,Married,66440,1,Y,12,8,0,9,3,9,0,8
47,No,Travel_Rarely,Sales,18,4,Medical,1,462,Female,2,Research Scientist,Single,55820,1,Y,16,8,0,9,3,9,0,7
30,Yes,Travel_Rarely,Sales,2,3,Life Sciences,1,463,Male,2,Healthcare Representative,Married,40000,4,Y,12,8,0,7,5,5,0,1
50,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,464,Female,2,Sales Executive,Married,134960,3,Y,18,8,1,22,3,12,1,5
38,No,Travel_Frequently,Research & Development,13,3,Technical Degree,1,465,Male,1,Manufacturing Director,Married,32100,0,Y,17,8,2,3,5,2,0,2
46,No,Travel_Rarely,Research & Development,28,3,Medical,1,466,Female,3,Human Resources,Divorced,190450,6,Y,11,8,3,13,2,8,0,7
24,No,Travel_Rarely,Sales,28,3,Life Sciences,1,467,Female,1,Healthcare Representative,Divorced,118490,1,Y,16,8,1,5,3,4,3,2
35,Yes,Travel_Rarely,Sales,24,3,Medical,1,468,Male,3,Healthcare Representative,Divorced,20700,1,Y,13,8,3,5,1,4,0,2
31,No,Travel_Frequently,Research & Development,5,2,Technical Degree,1,469,Male,2,Sales Executive,Married,65020,1,Y,12,8,0,4,3,4,0,3
18,No,Non-Travel,Sales,5,4,Other,1,470,Male,2,Manager,Single,32300,1,Y,12,8,1,0,3,0,0,0
54,No,Travel_Rarely,Sales,23,3,Medical,1,471,Female,1,Laboratory Technician,Married,136030,8,Y,13,8,1,22,2,10,0,8
35,No,Travel_Rarely,Research & Development,6,4,Medical,1,472,Female,1,Manufacturing Director,Divorced,119960,1,Y,19,8,2,16,3,16,10,1
30,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,473,Female,5,Healthcare Representative,Married,56050,0,Y,12,8,1,9,0,8,1,7
20,Yes,Travel_Rarely,Research & Development,2,2,Life Sciences,1,474,Female,2,Research Scientist,Single,63970,1,Y,17,8,1,1,3,1,0,0
30,Yes,Travel_Frequently,Research & Development,8,4,Medical,1,475,Male,1,Sales Executive,Single,191440,0,Y,11,8,0,4,3,3,1,2
26,No,Travel_Rarely,Sales,1,3,Marketing,1,476,Female,2,Research Scientist,Married,175840,1,Y,20,8,0,8,2,8,1,3
22,No,Travel_Rarely,Research & Development,8,3,Other,1,477,Male,2,Sales Representative,Married,49070,NA,Y,21,8,1,4,2,4,1,1
48,No,Travel_Rarely,Human Resources,2,4,Medical,1,478,Male,2,Sales Executive,Single,45540,2,Y,11,8,2,19,3,2,2,2
48,No,Travel_Rarely,Sales,3,3,Medical,1,479,Male,1,Research Director,Single,54150,7,Y,11,8,1,27,1,15,4,8
41,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,480,Male,2,Research Scientist,Single,47410,6,Y,16,8,0,8,3,2,2,1
39,No,Travel_Rarely,Sales,2,3,Life Sciences,1,481,Male,3,Human Resources,Married,21150,1,Y,18,8,0,21,3,21,11,8
27,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,482,Male,2,Human Resources,Married,31610,0,Y,13,8,2,4,0,3,2,2
35,No,Travel_Rarely,Sales,24,3,Medical,1,483,Male,5,Sales Executive,Divorced,57450,1,Y,17,8,3,3,4,3,1,2
42,No,Travel_Rarely,Research & Development,23,4,Other,1,484,Male,1,Research Scientist,Married,23730,6,Y,14,8,1,21,3,1,0,0
50,No,Travel_Rarely,Sales,27,3,Medical,1,485,Male,2,Sales Executive,Married,33100,4,Y,22,8,1,8,3,1,0,0
59,No,Travel_Rarely,Research & Development,16,4,Medical,1,486,Female,5,Laboratory Technician,Single,186650,3,Y,12,8,0,30,3,5,4,3
37,Yes,Travel_Rarely,Sales,15,3,Marketing,1,487,Male,2,Laboratory Technician,Married,44850,5,Y,11,8,1,15,2,1,0,0
55,No,Travel_Frequently,Research & Development,26,2,Life Sciences,1,488,Female,2,Sales Executive,Married,27890,3,Y,13,8,1,17,2,8,6,7
41,No,Non-Travel,Research & Development,19,1,Life Sciences,1,489,Male,2,Research Scientist,Divorced,58280,1,Y,13,8,0,21,0,21,5,10
38,No,Travel_Rarely,Research & Development,24,2,Other,1,490,Female,1,Laboratory Technician,Single,23260,8,Y,14,8,0,19,3,1,0,0
26,Yes,Non-Travel,Research & Development,21,1,Life Sciences,1,491,Female,1,Manufacturing Director,Single,135250,8,Y,17,8,1,7,4,2,2,2
52,Yes,Travel_Rarely,Research & Development,5,4,Medical,1,492,Female,4,Human Resources,Married,14200,1,Y,13,8,1,33,2,32,6,9
44,No,Travel_Rarely,Research & Development,16,3,Life Sciences,1,493,Female,1,Healthcare Representative,Married,80200,3,Y,11,8,1,23,2,12,11,11
50,No,Non-Travel,Human Resources,2,2,Life Sciences,1,494,Male,1,Laboratory Technician,Married,36880,0,Y,11,8,0,19,3,18,0,13
36,Yes,Travel_Rarely,Sales,2,4,Technical Degree,1,495,Male,4,Sales Executive,Single,54820,1,Y,18,8,0,18,3,17,15,14
39,No,Travel_Frequently,Sales,11,3,Marketing,1,496,Male,1,Sales Executive,Single,160150,1,Y,11,8,0,21,3,21,2,8
33,No,Non-Travel,Sales,9,2,Technical Degree,1,497,Male,5,Sales Representative,Single,12000,0,Y,11,8,1,3,3,2,2,2
45,No,Travel_Rarely,Research & Development,7,2,Other,1,498,Male,1,Human Resources,Married,56610,3,Y,12,8,0,26,2,9,1,1
32,No,Non-Travel,Research & Development,15,3,Medical,1,499,Male,2,Manager,Single,69290,9,Y,20,8,0,10,6,8,7,7
34,No,Travel_Rarely,Sales,6,4,Marketing,1,500,Male,2,Research Director,Divorced,96130,0,Y,12,8,1,16,5,15,0,9
59,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,501,Male,2,Research Scientist,Married,56740,3,Y,12,8,0,14,6,6,0,4
45,No,Travel_Rarely,Research & Development,16,1,Medical,1,502,Male,2,Sales Executive,Single,54840,1,Y,20,8,3,6,6,6,0,4
53,No,Travel_Frequently,Sales,8,2,Medical,1,503,Male,2,Research Scientist,Married,120610,2,Y,20,8,1,30,2,15,6,12
36,Yes,Travel_Rarely,Research & Development,7,2,Life Sciences,1,504,Female,1,Research Scientist,Divorced,56600,7,Y,12,8,0,9,3,1,0,0
26,Yes,Travel_Frequently,Sales,2,3,Life Sciences,1,505,Male,2,Research Scientist,Married,48210,6,Y,14,8,2,6,2,3,1,2
34,No,Travel_Rarely,Research & Development,2,2,Life Sciences,1,506,Male,1,Sales Representative,Married,64100,1,Y,13,8,1,1,5,1,0,0
28,No,Travel_Rarely,Research & Development,10,3,Other,1,507,Male,2,Sales Representative,Married,52100,1,Y,15,8,0,1,1,1,0,0
38,No,Travel_Frequently,Sales,9,4,Medical,1,508,Male,2,Research Scientist,Married,26950,3,Y,14,8,1,8,4,2,2,2
50,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,509,Male,1,Sales Executive,Married,118780,2,Y,13,8,1,29,2,8,7,7
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,510,Male,1,Laboratory Technician,Single,170680,3,Y,23,8,0,8,6,4,0,1
40,No,Travel_Rarely,Human Resources,2,3,Medical,1,511,Male,5,Sales Executive,Married,24550,1,Y,15,8,1,8,2,7,7,5
26,No,Travel_Frequently,Research & Development,3,3,Medical,1,512,Male,2,Laboratory Technician,Divorced,139640,1,Y,11,8,2,5,1,5,1,3
46,No,Travel_Rarely,Research & Development,2,1,Medical,1,513,Female,3,Research Scientist,Divorced,49410,9,Y,13,8,2,23,2,2,2,2
54,No,Travel_Rarely,Research & Development,5,3,Medical,1,514,Female,2,Manufacturing Director,Married,24780,6,Y,11,8,0,13,0,9,7,0
56,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,515,Female,2,Manufacturing Director,Married,52280,2,Y,11,8,0,18,4,5,0,3
36,No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,516,Female,2,Human Resources,Single,44780,0,Y,18,8,1,15,3,14,7,8
55,No,Non-Travel,Research & Development,2,3,Medical,1,517,Female,2,Manager,Single,75470,7,Y,16,8,0,31,2,9,6,2
43,No,Travel_Rarely,Sales,25,2,Life Sciences,1,518,Male,3,Research Scientist,Divorced,50550,5,Y,22,8,0,18,2,1,0,0
20,Yes,Travel_Frequently,Sales,8,3,Marketing,1,519,Male,3,Sales Executive,Single,34640,1,Y,20,8,0,2,3,2,0,2
21,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,520,Male,1,Manager,Single,57750,1,Y,18,8,0,1,2,1,1,0
46,No,Travel_Rarely,Sales,12,3,Marketing,1,521,Female,3,Healthcare Representative,Divorced,89430,8,Y,12,8,1,19,6,16,1,7
51,Yes,Travel_Rarely,Sales,23,3,Medical,1,522,Female,2,Research Scientist,Married,192720,9,Y,20,8,0,18,2,10,2,7
28,Yes,Non-Travel,Research & Development,19,4,Life Sciences,1,523,Female,4,Laboratory Technician,Single,52380,1,Y,17,8,1,10,4,10,1,9
26,No,Travel_Rarely,Research & Development,5,4,Medical,1,524,Female,2,Sales Executive,Married,46820,1,Y,11,8,1,6,3,5,1,3
30,No,Travel_Rarely,Research & Development,8,3,Medical,1,525,Female,1,Sales Executive,Married,183000,0,Y,14,8,0,7,6,6,0,2
41,No,Travel_Rarely,Sales,1,4,Life Sciences,1,526,Female,1,Research Director,Married,52570,1,Y,14,8,0,10,2,10,0,8
38,No,Travel_Rarely,Research & Development,5,3,Technical Degree,1,527,Male,1,Sales Executive,Married,63490,0,Y,11,8,0,20,3,19,1,9
40,No,Travel_Rarely,Sales,1,4,Marketing,1,528,Male,1,Sales Executive,Married,48690,4,Y,12,8,0,14,2,11,11,1
27,No,Non-Travel,Sales,11,3,Technical Degree,1,529,Female,2,Laboratory Technician,Married,99850,1,Y,14,8,1,3,3,3,1,2
55,No,Travel_Frequently,Research & Development,23,5,Life Sciences,1,530,Male,3,Laboratory Technician,Married,36970,3,Y,13,8,1,23,1,3,1,2
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,531,Male,2,Healthcare Representative,Single,74570,3,Y,11,8,2,10,1,8,1,7
44,Yes,Travel_Rarely,Research & Development,18,4,Life Sciences,1,532,Female,2,Sales Executive,Married,21190,9,Y,15,8,0,24,3,20,3,6
33,No,Travel_Rarely,Sales,23,4,Marketing,1,533,Female,4,Sales Executive,Divorced,39830,4,Y,12,8,0,9,3,3,1,2
35,Yes,Travel_Rarely,Sales,7,4,Life Sciences,1,534,Male,3,Sales Representative,Single,61180,0,Y,21,8,1,9,3,8,4,7
33,Yes,Travel_Frequently,Research & Development,1,2,Life Sciences,1,535,Female,1,Sales Executive,Single,62140,1,Y,19,8,2,14,3,13,3,8
28,No,Travel_Rarely,Human Resources,1,1,Human Resources,1,536,Male,2,Research Scientist,Divorced,63470,1,Y,15,8,1,4,2,4,2,2
34,No,Travel_Frequently,Sales,29,4,Marketing,1,537,Male,1,Research Scientist,Single,115100,0,Y,14,8,1,7,5,6,0,4
37,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,538,Male,4,Sales Executive,Divorced,71430,2,Y,21,8,0,8,6,1,0,0
25,Yes,Travel_Rarely,Human Resources,25,4,Human Resources,1,539,Female,2,Research Scientist,Married,82680,1,Y,12,8,0,7,3,7,5,6
26,Yes,Travel_Rarely,Sales,8,2,Marketing,1,540,Male,2,Sales Executive,Divorced,80950,1,Y,15,8,0,1,3,1,0,0
33,Yes,Travel_Rarely,Research & Development,8,2,Life Sciences,1,541,Male,4,Manufacturing Director,Single,29040,4,Y,13,8,0,5,2,2,2,2
42,No,Travel_Rarely,Research & Development,11,1,Life Sciences,1,542,Male,4,Research Scientist,Married,60320,0,Y,14,8,0,23,2,22,13,7
28,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,543,Male,2,Manager,Divorced,29760,1,Y,14,8,0,1,3,1,0,0
50,Yes,Travel_Frequently,Research & Development,1,4,Medical,1,544,Male,2,Research Scientist,Single,159920,3,Y,14,8,0,5,3,0,0,0
33,No,Travel_Frequently,Sales,9,3,Medical,1,545,Female,2,Research Scientist,Married,46490,0,Y,12,8,0,4,2,3,0,2
34,No,Non-Travel,Sales,1,1,Marketing,1,546,Female,2,Research Director,Married,26960,3,Y,23,8,0,6,3,0,0,0
48,No,Non-Travel,Sales,2,1,Life Sciences,1,547,Male,2,Sales Executive,Single,23700,2,Y,11,8,0,27,3,5,2,1
45,No,Non-Travel,Research & Development,1,3,Medical,1,548,Female,2,Human Resources,Married,125040,1,Y,12,8,1,15,2,15,4,12
52,No,Travel_Rarely,Sales,1,3,Life Sciences,1,549,Male,1,Sales Executive,Single,59740,7,Y,18,8,1,18,6,8,4,0
38,No,Travel_Rarely,Research & Development,6,2,Medical,1,550,Male,1,Research Scientist,Divorced,47360,0,Y,11,8,1,9,3,8,2,7
29,No,Travel_Rarely,Research & Development,8,3,Medical,1,551,Female,4,Research Scientist,Divorced,52960,4,Y,14,8,0,11,3,7,1,7
28,No,Travel_Rarely,Human Resources,1,3,Human Resources,1,552,Female,4,Laboratory Technician,Divorced,67810,0,Y,15,8,1,10,2,9,1,7
46,No,Travel_Rarely,Research & Development,6,4,Medical,1,553,Male,3,Sales Executive,Married,21740,3,Y,11,8,1,23,3,12,4,9
38,No,Travel_Rarely,Research & Development,7,4,Medical,1,554,Male,1,Sales Executive,Single,66530,7,Y,20,8,1,10,2,1,0,0
43,No,Travel_Frequently,Research & Development,5,3,Medical,1,555,Female,2,Laboratory Technician,Married,96990,8,Y,19,8,1,18,3,8,0,1
39,Yes,Travel_Frequently,Sales,1,3,Marketing,1,556,Male,2,Healthcare Representative,Divorced,67550,7,Y,14,8,1,21,2,18,11,5
40,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,557,Male,1,Healthcare Representative,Single,22130,1,Y,17,8,0,21,4,20,4,9
21,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,558,Female,1,Research Scientist,Single,26100,1,Y,11,8,1,2,3,2,2,2
39,No,Non-Travel,Research & Development,6,3,Life Sciences,1,559,Male,1,Laboratory Technician,Single,28510,9,Y,15,8,0,9,2,5,0,3
36,No,Non-Travel,Research & Development,1,3,Medical,1,560,Male,3,Sales Representative,Single,34520,2,Y,13,8,3,18,4,11,0,9
31,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,561,Male,1,Sales Executive,Married,52580,0,Y,14,8,3,3,5,2,2,2
28,No,Travel_Rarely,Sales,2,4,Marketing,1,562,Male,1,Sales Executive,Married,93550,0,Y,11,8,0,6,4,5,0,4
35,No,Travel_Frequently,Research & Development,9,2,Other,1,563,Female,1,Manufacturing Director,Divorced,104960,1,Y,13,8,1,5,2,5,0,2
49,No,Travel_Rarely,Sales,2,2,Medical,1,564,Female,1,Sales Executive,Married,63800,6,Y,23,8,1,22,1,9,2,3
34,No,Travel_Frequently,Sales,9,1,Technical Degree,1,565,Male,2,Sales Executive,Single,26570,2,Y,13,8,1,5,3,3,0,2
29,No,Travel_Frequently,Research & Development,1,4,Medical,1,566,Male,3,Research Scientist,Divorced,27160,0,Y,18,8,0,8,2,7,1,1
42,No,Travel_Rarely,Sales,21,2,Life Sciences,1,567,Female,1,Healthcare Representative,Single,22010,4,Y,12,8,1,16,3,1,0,0
29,No,Travel_Rarely,Sales,4,2,Other,1,568,Female,2,Healthcare Representative,Married,65400,1,Y,22,8,0,10,2,10,1,2
38,No,Travel_Rarely,Research & Development,1,3,Medical,1,569,Female,1,Human Resources,Married,38160,1,Y,13,8,2,7,2,7,5,0
28,No,Travel_Frequently,Sales,6,4,Life Sciences,1,570,Male,1,Manager,Divorced,52530,1,Y,15,8,0,3,2,3,0,2
18,Yes,Non-Travel,Research & Development,2,4,Medical,1,571,Male,3,Laboratory Technician,Single,109650,1,Y,18,8,0,0,5,0,0,0
33,Yes,Travel_Rarely,Research & Development,3,2,Life Sciences,1,572,Male,1,Sales Executive,Single,49360,0,Y,14,8,0,6,2,5,0,3
